entry,year,genre,source,a,b,c,text,
886,1868,FIC,WorldMask,A,B,C,"  . Galldove Yes, yes; but would not.' Sdeath! sir -- Fern. Fernwood Come, no fine rages. Why did you bring Teresa here?",
892,1868,FIC,WorldMask,A,B,C,"  cousin? Ryl. Rylton Heavens! Fernwood, what's the matter now? Fern. Fernwood Nothing, nothing. Ryl. Rylton A very remarkable nothing. Let",
893,1868,FIC,WorldMask,A,B,C,"  Well, well, madam! Ryl. Rylton Why, Fernwood, Fernwood! Fern. Fernwood Well, sir! Ryl. Rylton A fair day to you,",
907,1868,FIC,WorldMask,A,B,C,"  me, and no less eagerly watching everything. Did you not, sir? Fern. Fernwood I confess it. Captain Fleet you say? L.H. Aside to a",
913,1868,FIC,WorldMask,A,B,C,  Gal. Galldove Sometimes it wanders on forbidden grounds; a trespass by law. Fern. Fernwood What did I say? These fits are like dreams; I forget,
917,1868,FIC,WorldMask,A,B,C,  sleep. Ha! that look again! Gal. Galldove Liar! Liar! Fern. Fernwood L ooking around At whom can he be railing? Gal. Galldove,
925,1868,FIC,WorldMask,A,B,C,"  this mountebank, this Fernwood, for today. What can he be designing? Fern. Fernwood Ask him; perhaps he'll tell you. Do not flinch.",
945,1868,FIC,WorldMask,A,B,C,"  Exit L.2.E. Ter. Teresa Cespo Oh! Faints and is supported by Fernwood Fern. Fernwo od Look up, Teresa. Stand back, I pray -- you",
953,1868,FIC,WorldMask,A,B,C,"  T aking Fernwood aside' Ods mercy! who are you that tutor me? Fern. Fernwood One who knows your ways, my little man. Respect yon lady",
954,1868,FIC,WorldMask,A,B,C,"  on Fernwood, Rew! Gal. Galldove Lies, lies, all lies! Fern. Fernwood Bring in the prisoner. Enter two officers with Captain Fleet, down",
976,1868,FIC,WorldMask,A,B,C,  and as Fernwood turns slowly around he drops it All. All Starting Ha! Fern. Fernwood Be not alarmed.' T is but a piece of pointed steel,
992,1868,FIC,WorldMask,A,B,C,"  my pride, ha? What will Lucy think of me, so fallen? Fern. Fernwood Rylton, she'll love you more. Ryl. Rylton Your words",
225,1869,NF,BOWCBookBoys,A,B,C,"  were filled, and many of them were very fine indeed. There were some fern prints, and some tracks of birds on sand stone, which Mr. Long had",
584,1869,FIC,WomanWhoDared,A,B,C,"  grouped with rarest skill, -- The blue-fringed gentian, the red cardinal, With fern and plumy golden-rod intwined, -- A knock aroused her, and the opened door",
668,1869,FIC,HospitalSketches,A,B,C,"  often found in the least promising of this affectionate race, hastily gathered a delicate fern or two, and, adding the one wild rose that blossomed in that shady",
862,1869,FIC,VashtiQuotUntil,A,B,C,"  folded arms wrapping her tattered pall, Had Melancholy mused herself to sleep. The fern was pressed beneath her hair, The dark green adder's tongue was there;",
880,1869,NF,AmericanWomans,A,B,C,"  moss, such as you find in swamps, and plant therein great plumes of fern and various swamp-grasses; they will continue to grow there, and hang gracefully over",
233,1870,FIC,LostInFog,A,B,C,"  had all rolled off. Not a drop had entered. The moss and the fern inside were perfectly dry, and he had not the slightest feeling of dampness about",
724,1870,MAG,Atlantic,A,B,C,"  and there the sorrel lies in crimson stains; in wet places sturdy clumps of fern unroll their golden green with splendid vigor of growth, and from the s vamp",
66,1871,FIC,LucyRaymond,A,B,C,"  . She stood spell-bound at first, and then, scrambling down among rock and fern, reached the little stream, and was soon wading about in its bed,",
246,1871,NF,AdventuresYoung,A,B,C,"  stalks, allowed us to get in front of him, then crept under the fern. As the leaves of this shrub are furnished underneath with long prickles, when",
529,1871,FIC,AdmetusOtherPoems,A,B,C,"  hue, Reflecting tender shades of waving green, And mossy undergrowth of grass and fern. Here yellow lilies floated' midst broad leaves, Upon their reedy stalks,",
714,1871,NF,AdventuresYoung,A,B,C,  CHAPTER VII. The Cats' - eyes Pomade. -- Armadillo. -- Lucien and the cruel Fern. -- The fallen Mountain. -- The Woodpecker. -- The Basilisk. -- L'Encuerado's,
975,1871,FIC,SongsSierras,A,B,C,"  the rising tide, The secret outlet of the lake, Safe hid by trackless fern and brake, With yellow lilies at her side, She told me how in",
84,1872,FIC,Round-aboutRambles,A,B,C,"  others danced about her, and jumped over her, and hung on to long fern leaves, and scrambled among the bushes, and were as merry as a boxful",
686,1872,FIC,BeautyBeastTales,A,B,C,"  the oaks, and the air was filled with fragrant odors of hickory-leaves, sweet fern, and spice-wood. Picking up a flower here and there, Asenath walked onward",
79,1873,FIC,WorkAStoryExperience,A,B,C,"  of pale flowers tied up with a blade of grass. She added a frail fern or two, and did give just the graceful touch here and there which would",
511,1873,NF,MythsMyth-makers,A,B,C,  will instantly kill any serpent. The ash shares this virtue with the hazel and fern. A Swedish peasant will tell you that snakes may be deprived of their venom,
784,1873,FIC,Shells,A,B,C,"  nothing but cold, silent clay. There was one who was crowned with the Fern Leaves, Whose ringing tones, full of good cheer, Lightened hearts that were",
789,1873,NF,MythsMyth-makers,A,B,C,"  , -- a property which it shares with one of the treasure-finding plants, the fern. 30 In this respect it resembles the ring of Gyges, as in its",
842,1873,NF,MythsMyth-makers,A,B,C,"  an ancient Greek had occasion to make his bed in the woods, he selected fern leaves if possible, in the belief that the smell of them would drive away",
